property_id,similar_property_ids
COMP-1648798992582596241,"['COMP-1652382262299070377', 'COMP-1652374488810850849', 'COMP-1648802135056009713', 'COMP-1705214924582711849']"
COMP-1648802135056009713,"['COMP-1652382262299070377', 'COMP-1652374488810850849', 'COMP-1648798992582596241', 'COMP-1705214924582711849']"
COMP-1648810325843871129,[]
COMP-1648859849333346369,[]
COMP-1649314408791143777,[]
COMP-1649442535978810961,[]
COMP-1649481302051527089,['COMP-1616359476690510889']
COMP-1651377680637834305,[]
COMP-1651465970669647025,[]
COMP-1651482455266222705,[]
COMP-1651671709728576761,"['COMP-1647698444349507633', 'COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1651690087004080009,['RLMX-100669']
COMP-1651771738409593201,"['RLMX-102805', 'OLRS-2044473']"
COMP-1652267833590505625,[]
COMP-1652307375869548977,[]
COMP-1652309173463953601,"['COMP-1651482455266222705', 'COMP-1705258241987142361']"
COMP-1652374488810850849,"['COMP-1652382262299070377', 'COMP-1648802135056009713', 'COMP-1648798992582596241', 'COMP-1705214924582711849']"
COMP-1652382262299070377,"['COMP-1648802135056009713', 'COMP-1652374488810850849', 'COMP-1648798992582596241', 'COMP-1654420296519097369', 'COMP-1705214924582711849']"
COMP-1652389380779563401,[]
COMP-1652392713573250081,['OLRS-00011833730']
COMP-1652466905107054265,"['COMP-1622425264311390569', 'RPLU-5123156308', 'OLRS-1320857', 'RPLU-33423153969']"
COMP-1652625139931046953,[]
COMP-1652651194763197713,[]
COMP-1652909521141124113,"['OLRS-00011994400', 'PRCH-35132144', 'COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1652910163373195889,[]
COMP-1652967170004123033,['COMP-1472497827845493537']
COMP-1652999144668154057,"['COMP-1638644375096526049', 'RLMX-102620']"
COMP-1653087286297412553,['OLRS-2094098']
COMP-1653124679566182737,"['RPLU-33423149602', 'RLMX-100456', 'COMP-1705258241987142361', 'OLRS-00011942796']"
COMP-1653809857553206081,['COMP-1700396640383759569']
